0        1         2         3         4         5         6         7         8         9        10        11
123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
-----+-----+--------------------------------------------+------------------+-------+--------+------+----+---+---+
name |  id |                title                       |   units          | type  | level  | dsf  | prc|cm1|cm2|
-----+-----+--------------------------------------------+------------------+-------+--------+------+----+---+---+
PRES | 001 | PRESSURE                                   | HPA              | float | sfc    | -999 | 08 |   |   |
PSNM | 002 | SEA LEVEL PRESSURE                         | HPA              | float | msl    | -999 | 08 |   |   |
TSPS | 003 | PRESSURE TENDENCY                          | PA/S             | float | sfc    | -999 | 08 |   |   |
GEOP | 006 | GEOPOTENTIAL                               | DAM              | float |        | -999 | 08 |   |   |
ZGEO | 007 | GEOPOTENTIAL HEIGHT                        | GPM              | float |        | -999 | 08 |   |   |
GZGE | 008 | GEOMETRIC HEIGHT                           | M                | float |        | -999 | 08 |   |   |
TOZN | 010 | VERTICALLY INTEGRATED OZONE CONTENT        | DOBSON           | float | sfc    | -999 | 08 |   |   |
TEMP | 011 | ABSOLUTE TEMPERATURE                       | K                | float |        | -999 | 08 |   |   |
VTMP | 012 | VIRTUAL TEMPERATURE                        | K                | float |        | -999 | 08 |   |   |
PTMP | 013 | POTENTIAL TEMPERATURE                      | K                | float |        | -999 | 08 |   |   |
PSAT | 014 | PSEUDO-ADIABATIC POTENTIAL TEMPERATURE     | K                | float |        | -999 | 08 |   |   |
MXTP | 015 | MAXIMUM TEMPERATURE                        | K                | float | sfc    | -999 | 08 |   |   |
MNTP | 016 | MINIMUM TEMPERATURE                        | K                | float | sfc    | -999 | 08 |   |   |
TPOR | 017 | DEW POINT TEMPERATURE                      | K                | float |        | -999 | 08 |   |   |
DPTD | 018 | DEW POINT DEPRESSION                       | K                | float |        | -999 | 08 |   |   |
LPSR | 019 | LAPSE RATE                                 | K/M              | float |        | -999 | 08 |   |   |
RDS1 | 021 | RADAR SPECTRA(1)                           |                  | float |        | -999 | 08 |   |   |
RDS2 | 022 | RADAR SPECTRA(2)                           |                  | float |        | -999 | 08 |   |   |
RDS3 | 023 | RADAR SPECTRA(3)                           |                  | float |        | -999 | 08 |   |   |
TPAN | 025 | TEMPERATURE ANOMALY                        | K                | float |        | -999 | 08 |   |   |
PSAN | 026 | PRESSURE ANOMALY                           | PA HPA           | float | sfc    | -999 | 08 |   |   |
ZGAN | 027 | GEOPOT HEIGHT ANOMALY                      | M                | float |        | -999 | 08 |   |   |
WVS1 | 028 | WAVE SPECTRA(1)                            |                  | float |        | -999 | 08 |   |   |
WVS2 | 029 | WAVE SPECTRA(2)                            |                  | float |        | -999 | 08 |   |   |
WVS3 | 030 | WAVE SPECTRA(3)                            |                  | float |        | -999 | 08 |   |   |
WIND | 031 | WIND DIRECTION                             | DEG              | float |        | -999 | 08 |   |   |
WINS | 032 | WIND SPEED                                 | M/S              | float |        | -999 | 08 |   |   |
UVEL | 033 | ZONAL WIND (U)                             | M/S              | float |        | -999 | 08 |   |   |
VVEL | 034 | MERIDIONAL WIND (V)                        | M/S              | float |        | -999 | 08 |   |   |
FCOR | 035 | STREAM FUNCTION                            | M2/S             | float |        | -999 | 08 |   |   |
POTV | 036 | VELOCITY POTENTIAL                         | M2/S             | float |        | -999 | 08 |   |   |
SGVV | 038 | SIGMA COORD VERT VEL                       | SEC/SEC          | float |        | -999 | 08 |   |   |
OMEG | 039 | OMEGA                                      | PA/S             | float |        | -999 | 08 |   |   |
OMG2 | 040 | VERTICAL VELOCITY                          | M/S              | float |        | -999 | 08 |   |   |
ABVO | 041 | ABSOLUTE VORTICITY                         | 10**5/SEC        | float |        | -999 | 08 |   |   |
ABDV | 042 | ABSOLUTE DIVERGENCE                        | 10**5/SEC        | float |        | -999 | 08 |   |   |
VORT | 043 | VORTICITY                                  | 1/S              | float |        | -999 | 08 |   |   |
DIVG | 044 | DIVERGENCE                                 | 1/S              | float |        | -999 | 08 |   |   |
VUCS | 045 | VERTICAL U-COMP SHEAR                      | 1/SEC            | float |        | -999 | 08 |   |   |
VVCS | 046 | VERT V-COMP SHEAR                          | 1/SEC            | float |        | -999 | 08 |   |   |
DIRC | 047 | DIRECTION OF CURRENT                       | DEG              | float |        | -999 | 08 |   |   |
SPDC | 048 | SPEED OF CURRENT                           | M/S              | float |        | -999 | 08 |   |   |
UCPC | 049 | U-COMPONENT OF CURRENT                     | M/S              | float |        | -999 | 08 |   |   |
VCPC | 050 | V-COMPONENT OF CURRENT                     | M/S              | float |        | -999 | 08 |   |   |
UMES | 051 | SPECIFIC HUMIDITY                          | KG/KG            | float |        | -999 | 08 |   |   |
UMRL | 052 | RELATIVE HUMIDITY                          | NO DIM           | float |        | -999 | 08 |   |   |
HMXR | 053 | HUMIDITY MIXING RATIO                      | KG/KG            | float |        | -999 | 08 |   |   |
AGPL | 054 | INST. PRECIPITABLE WATER                   | KG/M2            | float | atm    | -999 | 08 |   |   |
VAPP | 055 | VAPOUR PRESSURE                            | PA HPA           | float |        | -999 | 08 |   |   |
SADF | 056 | SATURATION DEFICIT                         | PA HPA           | float |        | -999 | 08 |   |   |
EVAP | 057 | EVAPORATION                                | KG/M2/DAY        | float | sfc    | -999 | 08 |   |   |
PRCR | 059 | PRECIPITATION RATE                         | KG/M2/DAY        | float | sfc    | -999 | 08 |   |   |
THPB | 060 | THUNDER PROBABILITY                        | %                | float | atm    | -999 | 08 |   |   |
